11:20:19.947 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Sending initial request...
11:20:24.283 [main] INFO  mybot.MyBot - Healing Decision Maker shall lead me to glory!
11:20:24.283 [main] INFO  mybot.Pathfinder - Pub at (7,3), distance=9
11:20:24.283 [main] INFO  mybot.Pathfinder - Pub at (8,3), distance=48
11:20:24.283 [main] INFO  mybot.Pathfinder - Pub at (7,12), distance=138
11:20:24.283 [main] INFO  mybot.Pathfinder - Pub at (8,12), distance=162
11:20:24.283 [main] INFO  mybot.Pathfinder - Closest pub at (7,3), distance 9
11:20:24.283 [main] INFO  mybot.Pathfinder - Moving towards (7,3)
11:20:24.283 [main] INFO  mybot.Pathfinder - Move direction:South
11:20:24.283 [main] INFO  mybot.MyBot - Turn time 1845249ns
11:20:24.913 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Taking turn 28
11:20:24.913 [main] INFO  mybot.MyBot - Creating pathfinder.
11:20:24.913 [main] INFO  mybot.Pathfinder - Adding threats from hero at (10,6)
11:20:24.914 [main] INFO  mybot.Pathfinder - Adding threats from hero at (9,10)
11:20:24.914 [main] INFO  mybot.Pathfinder - Adding threats from hero at (5,7)
11:20:24.915 [main] INFO  mybot.Pathfinder - Current position (6,3)
11:20:24.915 [main] INFO  mybot.MyBot - Choosing decision maker.
11:20:24.916 [main] INFO  mybot.MyBot - Combat Decision Maker thinks...
11:20:24.916 [main] INFO  mybot.MyBot - Inn Camper Decision Maker thinks...
11:20:24.916 [main] INFO  mybot.TelefragDecisionmaker - Hero random is almost as rich as me.
11:20:24.916 [main] INFO  mybot.MyBot - Telefrag Decision Maker thinks...
11:20:24.916 [main] INFO  mybot.TelefragDecisionmaker - No telefrag target.
11:20:24.916 [main] INFO  mybot.MyBot - Healing Decision Maker thinks...
11:20:24.916 [main] INFO  mybot.HealingDecisionMaker - HP at an acceptable level
11:20:24.916 [main] INFO  mybot.MyBot - Looting Decision Maker thinks...
11:20:24.916 [main] INFO  mybot.LootingDecisionMaker - Looting a mine.
11:20:24.916 [main] INFO  mybot.MyBot - Looting Decision Maker shall lead me to glory!
11:20:24.916 [main] INFO  mybot.LootingDecisionMaker - Going to mine at (7,2), distance 18
11:20:24.916 [main] INFO  mybot.Pathfinder - Heading to closest mine at (7,2)
11:20:24.916 [main] INFO  mybot.Pathfinder - Moving towards (7,2)
11:20:24.916 [main] INFO  mybot.Pathfinder - Move direction:West
11:20:24.917 [main] INFO  mybot.MyBot - Turn time 3449564ns
11:20:25.542 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Taking turn 32
11:20:25.543 [main] INFO  mybot.MyBot - Creating pathfinder.
11:20:25.543 [main] INFO  mybot.Pathfinder - Adding threats from hero at (10,5)
11:20:25.543 [main] INFO  mybot.Pathfinder - Adding threats from hero at (9,9)
11:20:25.544 [main] INFO  mybot.Pathfinder - Adding threats from hero at (5,8)
11:20:25.545 [main] INFO  mybot.Pathfinder - Current position (6,2)
11:20:25.545 [main] INFO  mybot.MyBot - Choosing decision maker.
11:20:25.545 [main] INFO  mybot.MyBot - Combat Decision Maker thinks...
11:20:25.545 [main] INFO  mybot.MyBot - Inn Camper Decision Maker thinks...
11:20:25.545 [main] INFO  mybot.TelefragDecisionmaker - Hero random is almost as rich as me.
11:20:25.545 [main] INFO  mybot.MyBot - Telefrag Decision Maker thinks...
11:20:25.545 [main] INFO  mybot.TelefragDecisionmaker - No telefrag target.
11:20:25.545 [main] INFO  mybot.MyBot - Healing Decision Maker thinks...
11:20:25.545 [main] INFO  mybot.HealingDecisionMaker - HP at an acceptable level
11:20:25.545 [main] INFO  mybot.MyBot - Looting Decision Maker thinks...
11:20:25.545 [main] INFO  mybot.LootingDecisionMaker - Looting a mine.
11:20:25.545 [main] INFO  mybot.MyBot - Looting Decision Maker shall lead me to glory!
11:20:25.546 [main] INFO  mybot.LootingDecisionMaker - Going to mine at (7,2), distance 9
11:20:25.546 [main] INFO  mybot.Pathfinder - Heading to closest mine at (7,2)
11:20:25.546 [main] INFO  mybot.Pathfinder - Moving towards (7,2)
11:20:25.546 [main] INFO  mybot.Pathfinder - Move direction:South
11:20:25.546 [main] INFO  mybot.MyBot - Turn time 3213751ns
11:20:26.172 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Taking turn 36
11:20:26.172 [main] INFO  mybot.MyBot - Creating pathfinder.
11:20:26.173 [main] INFO  mybot.Pathfinder - Adding threats from hero at (10,6)
11:20:26.173 [main] INFO  mybot.Pathfinder - Adding threats from hero at (9,9)
11:20:26.173 [main] INFO  mybot.Pathfinder - Adding threats from hero at (5,7)
11:20:26.174 [main] INFO  mybot.Pathfinder - Current position (6,2)
11:20:26.175 [main] INFO  mybot.MyBot - Choosing decision maker.
11:20:26.175 [main] INFO  mybot.MyBot - Combat Decision Maker thinks...
11:20:26.175 [main] INFO  mybot.MyBot - Inn Camper Decision Maker thinks...
11:20:26.177 [main] INFO  mybot.TelefragDecisionmaker - Hero random is almost as rich as me.
11:20:26.177 [main] INFO  mybot.MyBot - Telefrag Decision Maker thinks...
11:20:26.177 [main] INFO  mybot.TelefragDecisionmaker - No telefrag target.
11:20:26.177 [main] INFO  mybot.MyBot - Healing Decision Maker thinks...
11:20:26.177 [main] INFO  mybot.HealingDecisionMaker - HP at an acceptable level
11:20:26.177 [main] INFO  mybot.MyBot - Looting Decision Maker thinks...
11:20:26.177 [main] INFO  mybot.LootingDecisionMaker - Looting a mine.
11:20:26.177 [main] INFO  mybot.MyBot - Looting Decision Maker shall lead me to glory!
11:20:26.177 [main] INFO  mybot.LootingDecisionMaker - Going to mine at (8,2), distance 29
11:20:26.177 [main] INFO  mybot.Pathfinder - Heading to closest mine at (8,2)
11:20:26.177 [main] INFO  mybot.Pathfinder - Moving towards (8,2)
11:20:26.178 [main] INFO  mybot.Pathfinder - Move direction:West
11:20:26.178 [main] INFO  mybot.MyBot - Turn time 5271925ns
11:20:26.803 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Taking turn 40
11:20:26.803 [main] INFO  mybot.MyBot - Creating pathfinder.
11:20:26.803 [main] INFO  mybot.Pathfinder - Adding threats from hero at (10,7)
11:20:26.804 [main] INFO  mybot.Pathfinder - Adding threats from hero at (10,9)
11:20:26.804 [main] INFO  mybot.Pathfinder - Adding threats from hero at (5,8)
11:20:26.805 [main] INFO  mybot.Pathfinder - Current position (6,1)
11:20:26.805 [main] INFO  mybot.MyBot - Choosing decision maker.
11:20:26.805 [main] INFO  mybot.MyBot - Combat Decision Maker thinks...
11:20:26.805 [main] INFO  mybot.MyBot - Inn Camper Decision Maker thinks...
11:20:26.805 [main] INFO  mybot.TelefragDecisionmaker - Hero random is almost as rich as me.
11:20:26.805 [main] INFO  mybot.MyBot - Telefrag Decision Maker thinks...
11:20:26.805 [main] INFO  mybot.TelefragDecisionmaker - No telefrag target.
11:20:26.806 [main] INFO  mybot.MyBot - Healing Decision Maker thinks...
11:20:26.806 [main] INFO  mybot.HealingDecisionMaker - HP at an acceptable level
11:20:26.806 [main] INFO  mybot.MyBot - Looting Decision Maker thinks...
11:20:26.806 [main] INFO  mybot.LootingDecisionMaker - Looting a mine.
11:20:26.806 [main] INFO  mybot.MyBot - Looting Decision Maker shall lead me to glory!
11:20:26.806 [main] INFO  mybot.LootingDecisionMaker - Going to mine at (8,2), distance 23
11:20:26.806 [main] INFO  mybot.Pathfinder - Heading to closest mine at (8,2)
11:20:26.806 [main] INFO  mybot.Pathfinder - Moving towards (8,2)
11:20:26.806 [main] INFO  mybot.Pathfinder - Move direction:South
11:20:26.806 [main] INFO  mybot.MyBot - Turn time 3052928ns
11:20:27.432 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Taking turn 44
11:20:27.433 [main] INFO  mybot.MyBot - Creating pathfinder.
11:20:27.433 [main] INFO  mybot.Pathfinder - Adding threats from hero at (10,8)
11:20:27.433 [main] INFO  mybot.Pathfinder - Adding threats from hero at (11,9)
11:20:27.433 [main] INFO  mybot.Pathfinder - Adding threats from hero at (5,9)
11:20:27.435 [main] INFO  mybot.Pathfinder - Current position (7,1)
11:20:27.435 [main] INFO  mybot.MyBot - Choosing decision maker.
11:20:27.435 [main] INFO  mybot.MyBot - Combat Decision Maker thinks...
11:20:27.435 [main] INFO  mybot.MyBot - Inn Camper Decision Maker thinks...
11:20:27.435 [main] INFO  mybot.TelefragDecisionmaker - Hero random is almost as rich as me.
11:20:27.435 [main] INFO  mybot.MyBot - Telefrag Decision Maker thinks...
11:20:27.435 [main] INFO  mybot.TelefragDecisionmaker - No telefrag target.
11:20:27.435 [main] INFO  mybot.MyBot - Healing Decision Maker thinks...
11:20:27.435 [main] INFO  mybot.HealingDecisionMaker - HP at an acceptable level
11:20:27.435 [main] INFO  mybot.MyBot - Looting Decision Maker thinks...
11:20:27.435 [main] INFO  mybot.LootingDecisionMaker - Looting a mine.
11:20:27.435 [main] INFO  mybot.MyBot - Looting Decision Maker shall lead me to glory!
11:20:27.435 [main] INFO  mybot.LootingDecisionMaker - Going to mine at (8,2), distance 14
11:20:27.436 [main] INFO  mybot.Pathfinder - Heading to closest mine at (8,2)
11:20:27.436 [main] INFO  mybot.Pathfinder - Moving towards (8,2)
11:20:27.436 [main] INFO  mybot.Pathfinder - Move direction:South
11:20:27.436 [main] INFO  mybot.MyBot - Turn time 3152012ns
11:20:28.062 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Taking turn 48
11:20:28.063 [main] INFO  mybot.MyBot - Creating pathfinder.
11:20:28.063 [main] INFO  mybot.Pathfinder - Adding threats from hero at (10,9)
11:20:28.063 [main] INFO  mybot.Pathfinder - Adding threats from hero at (12,9)
11:20:28.063 [main] INFO  mybot.Pathfinder - Adding threats from hero at (5,8)
11:20:28.064 [main] INFO  mybot.Pathfinder - Current position (8,1)
11:20:28.064 [main] INFO  mybot.MyBot - Choosing decision maker.
11:20:28.064 [main] INFO  mybot.MyBot - Combat Decision Maker thinks...
11:20:28.065 [main] INFO  mybot.MyBot - Inn Camper Decision Maker thinks...
11:20:28.065 [main] INFO  mybot.TelefragDecisionmaker - Hero random is almost as rich as me.
11:20:28.065 [main] INFO  mybot.MyBot - Telefrag Decision Maker thinks...
11:20:28.065 [main] INFO  mybot.TelefragDecisionmaker - No telefrag target.
11:20:28.065 [main] INFO  mybot.MyBot - Healing Decision Maker thinks...
11:20:28.065 [main] INFO  mybot.HealingDecisionMaker - HP at an acceptable level
11:20:28.065 [main] INFO  mybot.MyBot - Looting Decision Maker thinks...
11:20:28.065 [main] INFO  mybot.LootingDecisionMaker - Looting a mine.
11:20:28.065 [main] INFO  mybot.MyBot - Looting Decision Maker shall lead me to glory!
11:20:28.065 [main] INFO  mybot.LootingDecisionMaker - Going to mine at (8,2), distance 9
11:20:28.065 [main] INFO  mybot.Pathfinder - Heading to closest mine at (8,2)
11:20:28.065 [main] INFO  mybot.Pathfinder - Moving towards (8,2)
11:20:28.065 [main] INFO  mybot.Pathfinder - Move direction:East
11:20:28.065 [main] INFO  mybot.MyBot - Turn time 2893912ns
11:20:28.692 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Taking turn 52
11:20:28.692 [main] INFO  mybot.MyBot - Creating pathfinder.
11:20:28.692 [main] INFO  mybot.Pathfinder - Adding threats from hero at (10,8)
11:20:28.693 [main] INFO  mybot.Pathfinder - Adding threats from hero at (12,9)
11:20:28.693 [main] INFO  mybot.Pathfinder - Adding threats from hero at (5,7)
11:20:28.694 [main] INFO  mybot.Pathfinder - Current position (8,1)
11:20:28.694 [main] INFO  mybot.MyBot - Choosing decision maker.
11:20:28.694 [main] INFO  mybot.MyBot - Combat Decision Maker thinks...
11:20:28.694 [main] INFO  mybot.MyBot - Inn Camper Decision Maker thinks...
11:20:28.694 [main] INFO  mybot.TelefragDecisionmaker - Hero random is almost as rich as me.
11:20:28.694 [main] INFO  mybot.MyBot - Telefrag Decision Maker thinks...
11:20:28.694 [main] INFO  mybot.TelefragDecisionmaker - No telefrag target.
11:20:28.694 [main] INFO  mybot.MyBot - Healing Decision Maker thinks...
11:20:28.694 [main] INFO  mybot.HealingDecisionMaker - HP at an acceptable level
11:20:28.694 [main] INFO  mybot.MyBot - Looting Decision Maker thinks...
11:20:28.695 [main] INFO  mybot.LootingDecisionMaker - Looting a mine.
11:20:28.695 [main] INFO  mybot.MyBot - Looting Decision Maker shall lead me to glory!
11:20:28.695 [main] INFO  mybot.LootingDecisionMaker - Going to mine at (11,4), distance 44
11:20:28.695 [main] INFO  mybot.LootingDecisionMaker - moves to reach goal=7
11:20:28.695 [main] INFO  mybot.LootingDecisionMaker - Would go to a mine, but HP will drain below the health threshold. Going to pub instead.
11:20:28.695 [main] INFO  mybot.Pathfinder - Pub at (7,3), distance=33
11:20:28.695 [main] INFO  mybot.Pathfinder - Pub at (8,3), distance=44
11:20:28.695 [main] INFO  mybot.Pathfinder - Pub at (7,12), distance=119
11:20:28.695 [main] INFO  mybot.Pathfinder - Pub at (8,12), distance=135
11:20:28.695 [main] INFO  mybot.Pathfinder - Closest pub at (7,3), distance 33
11:20:28.695 [main] INFO  mybot.Pathfinder - Heading to the closest pub at (7,3)
11:20:28.695 [main] INFO  mybot.Pathfinder - Pub at (7,3), distance=33
11:20:28.695 [main] INFO  mybot.Pathfinder - Pub at (8,3), distance=44
11:20:28.695 [main] INFO  mybot.Pathfinder - Pub at (7,12), distance=119
11:20:28.696 [main] INFO  mybot.Pathfinder - Pub at (8,12), distance=135
11:20:28.696 [main] INFO  mybot.Pathfinder - Closest pub at (7,3), distance 33
11:20:28.696 [main] INFO  mybot.Pathfinder - Moving towards (7,3)
11:20:28.696 [main] INFO  mybot.Pathfinder - Move direction:North
11:20:28.696 [main] INFO  mybot.MyBot - Turn time 3687487ns
11:20:29.322 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Taking turn 56
11:20:29.322 [main] INFO  mybot.MyBot - Creating pathfinder.
11:20:29.322 [main] INFO  mybot.Pathfinder - Adding threats from hero at (10,8)
11:20:29.322 [main] INFO  mybot.Pathfinder - Adding threats from hero at (12,9)
11:20:29.322 [main] INFO  mybot.Pathfinder - Adding threats from hero at (5,7)
11:20:29.322 [main] INFO  mybot.Pathfinder - Current position (7,1)
11:20:29.322 [main] INFO  mybot.MyBot - Choosing decision maker.
11:20:29.322 [main] INFO  mybot.MyBot - Combat Decision Maker thinks...
11:20:29.323 [main] INFO  mybot.MyBot - Inn Camper Decision Maker thinks...
11:20:29.323 [main] INFO  mybot.TelefragDecisionmaker - Hero random is almost as rich as me.
11:20:29.323 [main] INFO  mybot.MyBot - Telefrag Decision Maker thinks...
11:20:29.323 [main] INFO  mybot.TelefragDecisionmaker - No telefrag target.
11:20:29.323 [main] INFO  mybot.MyBot - Healing Decision Maker thinks...
11:20:29.323 [main] INFO  mybot.HealingDecisionMaker - HP at an acceptable level
11:20:29.323 [main] INFO  mybot.MyBot - Looting Decision Maker thinks...
11:20:29.323 [main] INFO  mybot.LootingDecisionMaker - Looting a mine.
11:20:29.323 [main] INFO  mybot.MyBot - Looting Decision Maker shall lead me to glory!
11:20:29.323 [main] INFO  mybot.LootingDecisionMaker - Going to mine at (11,4), distance 45
11:20:29.323 [main] INFO  mybot.LootingDecisionMaker - moves to reach goal=8
11:20:29.323 [main] INFO  mybot.LootingDecisionMaker - Would go to a mine, but HP will drain below the health threshold. Going to pub instead.
11:20:29.323 [main] INFO  mybot.Pathfinder - Pub at (7,3), distance=28
11:20:29.323 [main] INFO  mybot.Pathfinder - Pub at (8,3), distance=45
11:20:29.323 [main] INFO  mybot.Pathfinder - Pub at (7,12), distance=114
